Section,Gender,Plans,Season,Rank,Ticket,Texted,Exercise,Ethnicfood,Haircutcost,Topspeed,Height,Weight,Sleep,Jobhours,GPA,Heartrate
"F (Adams, 2:30 PM)",Female,Job,Fall,Oldest,No,Yes,Yes,Mexican,20,95,66,140,7,10,3.75,17
"F (Adams, 2:30 PM)",Female,Job,Fall,Middle,No,Yes,Yes,American,20,90,66,220,6,0,4,19
"F (Adams, 2:30 PM)",Female,Educ,Summer,Youngest,No,No,Yes,NA,12,95,64,118,8,20,3.7,24
"F (Adams, 2:30 PM)",Male,Educ,Summer,Oldest,No,No,Yes,Italian,22,105,69,159,9,12,2.7,15
"F (Adams, 2:30 PM)",Male,Educ,Fall,Oldest,No,Yes,Yes,Asian,10,145,72,230,6,10,3,20
"F (Adams, 2:30 PM)",Male,Job,Winter,Youngest,No,Yes,Yes,Italian,10,85,69,160,7.5,7,4,15
"F (Adams, 2:30 PM)",Male,Job,Spring,Youngest,Yes,Yes,Yes,Italian,0,90,72,175,6,10,4,20
"F (Adams, 2:30 PM)",Female,Job,Fall,Youngest,No,Yes,No,Asian,60,90,69,185,9,5,3.3,23
"F (Adams, 2:30 PM)",Female,Job,Spring,Youngest,No,Yes,Yes,Italian,25,95,63,128,8,0,3.8,11
"E (Adams, 1:30 PM)",Female,Job,Summer,Oldest,Yes,No,Yes,Asian,20,90,66,122,9,15,3.6,15
"C (Talsma, 10:30 AM)",Male,Job,Summer,Youngest,No,No,Yes,Italian,15,80,74,165,8,0,3.4,18
"C (Talsma, 10:30 AM)",Male,Job,Fall,Youngest,Yes,Yes,Yes,American,15,120,72,170,9,12,2.5,27
"C (Talsma, 10:30 AM)",Male,Job,Summer,Youngest,No,Yes,Yes,Asian,10,118,74,191,7.5,12,2.8,11
"C (Talsma, 10:30 AM)",Male,Job,Winter,Middle,Yes,Yes,Yes,Mexican,20,153,76,165,9,10,3,16
"B (Plantinga, 9:00 AM)",Female,Educ,Fall,Youngest,Yes,Yes,No,Mexican,35,90,63,150,7,15,3.75,18
